BatchID	Source Plate	Source Well	Destination Plate	Destination Well	Volume
Batch-2	DNA-98000	A02	Dest-002	A01	30
Batch-2	DNA-98000	A08	Dest-002	A02	30
Batch-2	DNA-98000	A09	Dest-002	A03	30
Batch-2	DNA-98000	A10	Dest-002	A04	30
Batch-2	DNA-98000	A11	Dest-002	A05	30
Batch-2	DNA-98000	B05	Dest-002	A06	30
Batch-2	DNA-98000	B06	Dest-002	A07	30
Batch-2	DNA-98000	B10	Dest-002	A08	30
Batch-2	DNA-98000	C01	Dest-002	A09	30
Batch-2	DNA-98000	C03	Dest-002	A10	30
Batch-2	DNA-98000	C11	Dest-002	A11	30
Batch-2	DNA-98000	C12	Dest-002	A12	30
Batch-2	DNA-98000	D01	Dest-002	B01	30
Batch-2	DNA-98000	D02	Dest-002	B02	30
Batch-2	DNA-98000	D06	Dest-002	B03	30
Batch-2	DNA-98000	D07	Dest-002	B04	30
Batch-2	DNA-98000	D09	Dest-002	B05	30
Batch-2	DNA-98000	D10	Dest-002	B06	30
Batch-2	DNA-98000	E04	Dest-002	B07	30
Batch-2	DNA-98000	E05	Dest-002	B08	30
Batch-2	DNA-98000	E08	Dest-002	B09	30
Batch-2	DNA-98000	E09	Dest-002	B10	30
Batch-2	DNA-98000	E11	Dest-002	B11	30
Batch-2	DNA-98000	F05	Dest-002	B12	30
Batch-2	DNA-98000	F09	Dest-002	C01	30
Batch-2	DNA-98000	G01	Dest-002	C02	30
Batch-2	DNA-98000	G02	Dest-002	C03	30
Batch-2	DNA-98000	G05	Dest-002	C05	30
Batch-2	DNA-98000	G10	Dest-002	C06	30
Batch-2	DNA-98000	H01	Dest-002	C07	30
Batch-2	DNA-98000	H04	Dest-002	C08	30
Batch-2	DNA-98000	H07	Dest-002	C09	30
Batch-2	DNA-98400	A03	Dest-002	C10	30
Batch-2	DNA-98400	A04	Dest-002	C11	30
Batch-2	DNA-98400	A05	Dest-002	C12	30
Batch-2	DNA-98400	A06	Dest-002	D01	30
Batch-2	DNA-98400	A11	Dest-002	D02	30
Batch-2	DNA-98400	A12	Dest-002	D03	30
Batch-2	DNA-98400	B05	Dest-002	D04	30
Batch-2	DNA-98400	B06	Dest-002	D05	30
Batch-2	DNA-98400	B07	Dest-002	D06	30
Batch-2	DNA-98400	B08	Dest-002	D07	30
Batch-2	DNA-98400	B09	Dest-002	D08	30
Batch-2	DNA-98400	B11	Dest-002	D09	30
Batch-2	DNA-98400	B12	Dest-002	D10	30
Batch-2	DNA-98400	C02	Dest-002	D11	30
Batch-2	DNA-98400	C03	Dest-002	D12	30
Batch-2	DNA-98400	C10	Dest-002	E01	30
Batch-2	DNA-98400	C12	Dest-002	E02	30
Batch-2	DNA-98400	D06	Dest-002	E03	30
Batch-2	DNA-98400	D07	Dest-002	E04	30
Batch-2	DNA-98400	D08	Dest-002	E05	30
Batch-2	DNA-98400	D10	Dest-002	E06	30
Batch-2	DNA-98400	D11	Dest-002	E07	30
Batch-2	DNA-98400	E01	Dest-002	E08	30
Batch-2	DNA-98400	E02	Dest-002	E09	30
Batch-2	DNA-98400	E05	Dest-002	E10	30
Batch-2	DNA-98400	E06	Dest-002	E11	30
Batch-2	DNA-98400	E07	Dest-002	E12	30
Batch-2	DNA-98400	E08	Dest-002	F01	30
Batch-2	DNA-98400	E09	Dest-002	F02	30
Batch-2	DNA-98400	E10	Dest-002	F03	30
Batch-2	DNA-98400	E11	Dest-002	F04	30
Batch-2	DNA-98400	E12	Dest-002	F05	30
Batch-2	DNA-98400	F05	Dest-002	F06	30
Batch-2	DNA-98400	F08	Dest-002	F07	30
Batch-2	DNA-98400	F11	Dest-002	F08	30
Batch-2	DNA-98400	F12	Dest-002	F09	30
Batch-2	DNA-98400	G03	Dest-002	F10	30
Batch-2	DNA-98400	G12	Dest-002	F11	30
Batch-2	DNA-98400	H05	Dest-002	F12	30
Batch-2	DNA-98400	H06	Dest-002	G01	30
Batch-2	DNA-98400	H09	Dest-002	G02	30
Batch-2	DNA-98400	H11	Dest-002	G03	30
Batch-2	DNA-99100	A02	Dest-002	G04	30
Batch-2	DNA-99100	A04	Dest-002	G05	30
Batch-2	DNA-99100	A05	Dest-002	G06	30
Batch-2	DNA-99100	A07	Dest-002	G07	30
Batch-2	DNA-99100	A08	Dest-002	G08	30
Batch-2	DNA-99100	A09	Dest-002	G09	30
Batch-2	DNA-99100	A11	Dest-002	G10	30
Batch-2	DNA-99100	B01	Dest-002	G11	30
Batch-2	DNA-99100	B02	Dest-002	G12	30
Batch-2	DNA-99100	B07	Dest-002	H01	30
Batch-2	DNA-99100	B08	Dest-002	H02	30
Batch-2	DNA-99100	B09	Dest-002	H03	30
Batch-2	DNA-99100	B12	Dest-002	H04	30
Batch-2	DNA-99100	C05	Dest-002	H05	30
Batch-2	DNA-99100	C06	Dest-002	H06	30
Batch-2	DNA-99100	C07	Dest-002	H07	30
Batch-2	DNA-99100	C09	Dest-002	H08	30
Batch-2	DNA-99100	C11	Dest-002	H09	30
Batch-2	DNA-99100	D01	Dest-002	H10	30
Batch-2	DNA-99100	D02	Dest-002	H11	30
Batch-2	DNA-99100	D03	Dest-002	H12	30
Batch-2	DNA-99100	D04	Dest-002	C04	30
